pokemon,rank,count,n,percent
Tapu Fini,1,1354612,1883573,0.719171489504256
Regieleki,2,924749,1883573,0.49095469089862726
Incineroar,3,839666,1883573,0.4457836250572715
Landorus-Therian,4,770399,1883573,0.4090093667726178
Metagross,5,730940,1883573,0.38806035125795496
Kartana,6,697245,1883573,0.37017147729342054
Glastrier,7,689327,1883573,0.3659677644561692
Moltres-Galar,8,623712,1883573,0.3311323744819022
Urshifu,9,617655,1883573,0.32791667750599524
Dusclops,10,609585,1883573,0.3236322669734595
Rillaboom,11,583859,1883573,0.3099741820465679
Whimsicott,12,465584,1883573,0.24718128790336238
Dragapult,13,423442,1883573,0.22480785188575117
Tornadus,14,391665,1883573,0.20793725541829278
Rotom-Heat,15,369278,1883573,0.19605186525820872
Amoonguss,16,353730,1883573,0.1877973404800345
Tyranitar,17,343732,1883573,0.1824893433915224
Thundurus,18,342019,1883573,0.18157990160190235
Indeedee-F,19,333503,1883573,0.17705870704241355
Stakataka,20,285076,1883573,0.15134852750596872
Torkoal,21,274673,1883573,0.14582551353199477
Celesteela,22,273824,1883573,0.14537477443136
Cresselia,23,266977,1883573,0.14173966180232994
Dracovish,24,263539,1883573,0.13991440735240948
Tapu Koko,25,237527,1883573,0.12610448334096952
Nihilego,26,233982,1883573,0.12422242196081595
Heatran,27,232239,1883573,0.12329705299449503
Raichu,28,226792,1883573,0.1204052086115059
Clefairy,29,223573,1883573,0.11869622255150185
Comfey,30,216733,1883573,0.11506482626370201
Zapdos-Galar,31,206730,1883573,0.10975417464573978
Venusaur,32,199666,1883573,0.1060038554385734
Mamoswine,33,185726,1883573,0.09860302733156613
Cinderace,34,182160,1883573,0.09670981692772194
Lapras,35,176410,1883573,0.09365710806005395
Articuno-Galar,36,173305,1883573,0.09200864527151324
Togekiss,37,173295,1883573,0.09200333621261295
Zapdos,38,172169,1883573,0.09140553618044005
Entei,39,167250,1883573,0.08879401010738633
Grimmsnarl,40,155994,1883573,0.08281813340921748
Spectrier,41,154876,1883573,0.08222458062416482
Regigigas,42,151498,1883573,0.08043118052764613
Garchomp,43,132786,1883573,0.07049686951341945
Coalossal,44,132747,1883573,0.0704761641837083
Gastrodon,45,131042,1883573,0.06957096964120849
Porygon2,46,124850,1883573,0.06628360037014759
Marowak-Alola,47,122775,1883573,0.06518197064833696
Blacephalon,48,122114,1883573,0.06483104185502765
Urshifu-Rapid-Strike,49,121545,1883573,0.06452895640360103
Excadrill,50,121545,1883573,0.06452895640360103
Hatterene,51,120757,1883573,0.064110602562258
Regidrago,52,117406,1883573,0.06233153692477011
Rotom-Wash,53,117312,1883573,0.062281631771107356
Pheromosa,54,115208,1883573,0.06116460577848589
Tapu Lele,55,112226,1883573,0.05958144441441877
Charizard,56,110665,1883573,0.05875270032008316
Milotic,57,104980,1883573,0.05573450033526707
Ferrothorn,58,99294,1883573,0.052715769444560946
Dragonite,59,85590,1883573,0.04544023512760058
Politoed,60,83693,1883573,0.044433106654215154
Chandelure,61,82183,1883573,0.043631438760271035
Arcanine,62,81565,1883573,0.043303338920232984
Weezing-Galar,63,81372,1883573,0.043200874083457345
Primarina,64,78236,1883573,0.04153595321232573
Suicune,65,77354,1883573,0.041067694217319956
Regirock,66,75157,1883573,0.03990129397692577
Ninetales-Alola,67,69599,1883573,0.03695051904014339
Talonflame,68,68384,1883573,0.03630546838375789
Weezing,69,68085,1883573,0.03614672752263916
Sableye,70,62968,1883573,0.03343008208335966
Salamence,71,57124,1883573,0.03032746806202892
Swampert,72,56803,1883573,0.03015704727132954
Mimikyu,73,55297,1883573,0.029357503000945542
Kingdra,74,54547,1883573,0.02895932358342363
Indeedee,75,54297,1883573,0.028826597110916327
Inteleon,76,53908,1883573,0.028620074719694962
Snorlax,77,51844,1883573,0.027524284962674662
Naganadel,78,49777,1883573,0.026426902487984273
Blaziken,79,48907,1883573,0.025965014363658855
Crobat,80,48081,1883573,0.025526486098494724
Rhyperior,81,48031,1883573,0.025499940803993263
Landorus,82,47833,1883573,0.025394821437767476
Nidoking,83,43555,1883573,0.023123606040222493
Dracozolt,84,43496,1883573,0.023092282592710768
Clefable,85,42823,1883573,0.022734982928721108
Corviknight,86,41022,1883573,0.02177882142077849
Terrakion,87,40844,1883573,0.021684320172353288
Sylveon,88,40735,1883573,0.021626451430340105
Duraludon,89,38944,1883573,0.02067559898129778
Latios,90,38450,1883573,0.020413331471623344
Porygon-Z,91,38115,1883573,0.02023547799846356
Volcarona,92,37228,1883573,0.019764564474007644
Gothitelle,93,33675,1883573,0.017878255846733842
Conkeldurr,94,33416,1883573,0.017740751221216274
Gengar,95,33352,1883573,0.017706773244254403
Blastoise,96,32858,1883573,0.017444505734579972
Darmanitan-Galar,97,32062,1883573,0.017021904646116717
Bisharp,98,31563,1883573,0.016756982606992137
Riolu,99,31007,1883573,0.016461798932135892
Thundurus-Therian,100,30962,1883573,0.016437908167084576
Gyarados,101,30817,1883573,0.016360926813030342
Togedemaru,102,30784,1883573,0.01634340691865938
Pelipper,103,30670,1883573,0.016282883647196048
Azumarill,104,28397,1883573,0.01507613455915964
Mudsdale,105,28166,1883573,0.01495349529856289
Latias,106,26798,1883573,0.014227216041002924
Xurkitree,107,26468,1883573,0.014052017097293283
Weavile,108,26417,1883573,0.014024940896901792
Ninetales,109,26308,1883573,0.013967072154888608
Arctozolt,110,25365,1883573,0.013466427900591058
Sceptile,111,24856,1883573,0.013196196802566187
Cradily,112,24628,1883573,0.013075150259639526
Raikou,113,24576,1883573,0.013047543153358007
Krookodile,114,23906,1883573,0.012691836207038431
Alakazam,115,23728,1883573,0.012597334958613232
Escavalier,116,23387,1883573,0.012416296050113268
Toxtricity,117,23254,1883573,0.012345685566739383
Hitmontop,118,22755,1883573,0.012080763527614804
Cobalion,119,21894,1883573,0.01162365355629965
Drifblim,120,21716,1883573,0.011529152307874449
Meowstic,121,21300,1883573,0.011308295457622295
Alcremie,122,20978,1883573,0.011137343761032889
Gigalith,123,20914,1883573,0.011103365784071019
Guzzlord,124,20493,1883573,0.010879854404368719
Tsareena,125,19852,1883573,0.010539543728859992
Goodra,126,19844,1883573,0.010535296481739757
Persian-Alola,127,19072,1883573,0.010125437134637203
Tapu Bulu,128,19044,1883573,0.010110571769716385
Oranguru,129,18729,1883573,0.009943336414357181
Umbreon,130,18271,1883573,0.009700181516723801
Bronzong,131,18154,1883573,0.009638065527590382
Lucario,132,17884,1883573,0.009494720937282495
Electivire,133,17879,1883573,0.009492066407832348
Buzzwole,134,17025,1883573,0.009038672777747399
Hydreigon,135,16890,1883573,0.008967000482593454
Jellicent,136,16778,1883573,0.008907539022910181
Braviary,137,16747,1883573,0.008891080940319276
Vanilluxe,138,16650,1883573,0.008839583068986443
Liepard,139,16217,1883573,0.008609700818603792
Scizor,140,16169,1883573,0.00858421733588239
Slowking-Galar,141,16108,1883573,0.008551832076590608
Aurorus,142,15480,1883573,0.00821842317765226
Ludicolo,143,14779,1883573,0.00784625814874178
Nidoqueen,144,14417,1883573,0.007654070216551204
Aerodactyl,145,14272,1883573,0.007577088862496967
Mesprit,146,14180,1883573,0.007528245520614279
Araquanid,147,13761,1883573,0.007305795952692038
Raichu-Alola,148,13760,1883573,0.0073052650468020085
Hawlucha,149,13717,1883573,0.007282436093530752
Butterfree,150,13704,1883573,0.007275534316960373
Uxie,151,13442,1883573,0.007136436973772718
Gardevoir,152,12763,1883573,0.006775951874442881
Malamar,153,12644,1883573,0.006712774073529404
Registeel,154,12507,1883573,0.006640039966595401
Barraskewda,155,12354,1883573,0.006558811365420932
Scrafty,156,12028,1883573,0.006385736045271407
Pincurchin,157,11743,1883573,0.006234427866613081
Aegislash,158,11334,1883573,0.006017287357591132
Pikachu,159,11209,1883573,0.005950924121337479
Slowbro-Galar,160,11092,1883573,0.005888808132204061
Reuniclus,161,11060,1883573,0.005871819143723127
Regice,162,11057,1883573,0.005870226426053038
Moltres,163,11019,1883573,0.005850052002231929
Durant,164,10630,1883573,0.005643529611010564
Diggersby,165,10609,1883573,0.00563238058731995
Jolteon,166,10413,1883573,0.005528323032874223
Tyrantrum,167,10279,1883573,0.0054571816436103085
Froslass,168,10037,1883573,0.005328702418223238
Vikavolt,169,9975,1883573,0.0052957862530414275
Steelix,170,9713,1883573,0.005156688909853773
Manectric,171,9609,1883573,0.005101474697290734
Magnezone,172,9608,1883573,0.005100943791400705
Lilligant,173,9586,1883573,0.0050892638618200625
Kangaskhan,174,9436,1883573,0.00500962797831568
Accelgor,175,9372,1883573,0.00497565000135381
Salazzle,176,9357,1883573,0.004967686413003372
Klefki,177,9243,1883573,0.004907163141540041
Thievul,178,9237,1883573,0.004903977706199866
Arctovish,179,9154,1883573,0.004859912517327441
Archeops,180,9036,1883573,0.004797265622303993
Dragalge,181,8682,1883573,0.0046093249372336515
Mienshao,182,8640,1883573,0.0045870268898524245
Ribombee,183,8631,1883573,0.004582248736842161
Hippowdon,184,8408,1883573,0.0044638567233656464
Seismitoad,185,8307,1883573,0.004410235228472695
Obstagoon,186,8301,1883573,0.00440704979313252
Azelf,187,8278,1883573,0.004394838957661848
Dhelmise,188,8241,1883573,0.004375195439730767
Omastar,189,8153,1883573,0.004328475721408196
Heliolisk,190,8028,1883573,0.004262112485154544
